full_text,tokens,processed_text
"universitas brawijaya menerapkan kurikulum berbasis hasil obe untuk meningkatkan kompetensi lulusannya di era industry 40","['universitas', 'brawijaya', 'menerapkan', 'kurikulum', 'berbasis', 'hasil', 'obe', 'meningkatkan', 'kompetensi', 'lulusannya', 'era', 'industry', '40']","universitas brawijaya menerapkan kurikulum berbasis hasil obe meningkatkan kompetensi lulusannya era industry 40"
"workshop pelatihan dosen tentang penerapan obe outcome based education di fakultas teknik itb pada tanggal 27 maret 2025","['workshop', 'pelatihan', 'dosen', 'penerapan', 'obe', 'outcome', 'based', 'education', 'fakultas', 'teknik', 'itb', 'tanggal', '27', 'maret', '2025']","workshop pelatihan dosen penerapan obe outcome based education fakultas teknik itb tanggal 27 maret 2025"
"pddi kemendikbud mengadakan seminar nasional implementasi kurikulum berbasis hasil untuk peningkatan mutu pendidikan indonesia","['pddi', 'kemendikbud', 'mengadakan', 'seminar', 'nasional', 'implementasi', 'kurikulum', 'berbasis', 'hasil', 'peningkatan', 'mutu', 'pendidikan', 'indonesia']","pddi kemendikbud mengadakan seminar nasional implementasi kurikulum berbasis hasil peningkatan mutu pendidikan indonesia"
"transeducation kampus kami sudah menerapkan obe sejak 2019 tapi masih banyak dosen yang belum memahami konsep ini dengan baik","['transeducation', 'kampus', 'menerapkan', 'obe', 'sejak', '2019', 'dosen', 'belum', 'memahami', 'konsep', 'baik']","transeducation kampus menerapkan obe sejak 2019 dosen belum memahami konsep baik"
"edureviewer penerapan kurikulum obe di indonesia masih menghadapi tantangan besar terutama dalam hal pemahaman dan implementasi","['edureviewer', 'penerapan', 'kurikulum', 'obe', 'indonesia', 'menghadapi', 'tantangan', 'besar', 'terutama', 'hal', 'pemahaman', 'implementasi']","edureviewer penerapan kurikulum obe indonesia menghadapi tantangan besar terutama hal pemahaman implementasi"
"teacherzone pendidikan berbasis hasil memerlukan perubahan paradigma dari pengajaran menjadi pembelajaran aktif","['teacherzone', 'pendidikan', 'berbasis', 'hasil', 'memerlukan', 'perubahan', 'paradigma', 'pengajaran', 'menjadi', 'pembelajaran', 'aktif']","teacherzone pendidikan berbasis hasil memerlukan perubahan paradigma pengajaran menjadi pembelajaran aktif"
"university of indonesia akan menyelenggarakan konferensi internasional outcome based education pada april 2025 di jakarta","['university', 'of', 'indonesia', 'menyelenggarakan', 'konferensi', 'internasional', 'outcome', 'based', 'education', 'april', '2025', 'jakarta']","university of indonesia menyelenggarakan konferensi internasional outcome based education april 2025 jakarta"
"smartedu obe merupakan pendekatan pendidikan yang memastikan siswa mencapai kompetensi yang telah ditentukan di awal pembelajaran","['smartedu', 'obe', 'merupakan', 'pendekatan', 'pendidikan', 'memastikan', 'siswa', 'mencapai', 'kompetensi', 'telah', 'ditentukan', 'awal', 'pembelajaran']","smartedu obe merupakan pendekatan pendidikan memastikan siswa mencapai kompetensi telah ditentukan awal pembelajaran"
"akreditasi perguruan tinggi sekarang mewajibkan penerapan kurikulum berbasis hasil sebagai syarat utama akreditasi unggul","['akreditasi', 'perguruan', 'tinggi', 'sekarang', 'mewajibkan', 'penerapan', 'kurikulum', 'berbasis', 'hasil', 'sebagai', 'syarat', 'utama', 'akreditasi', 'unggul']","akreditasi perguruan tinggi sekarang mewajibkan penerapan kurikulum berbasis hasil sebagai syarat utama akreditasi unggul"
"educationtalks mengapa kurikulum berbasis hasil sangat penting untuk menghadapi tantangan dunia kerja di era digital","['educationtalks', 'mengapa', 'kurikulum', 'berbasis', 'hasil', 'sangat', 'penting', 'menghadapi', 'tantangan', 'dunia', 'kerja', 'era', 'digital']","educationtalks mengapa kurikulum berbasis hasil sangat penting menghadapi tantangan dunia kerja era digital"
"prodi teknik informatika ugm berhasil menerapkan kurikulum obe dengan hasil memuaskan terlihat dari peningkatan kualitas lulusan","['prodi', 'teknik', 'informatika', 'ugm', 'berhasil', 'menerapkan', 'kurikulum', 'obe', 'hasil', 'memuaskan', 'terlihat', 'peningkatan', 'kualitas', 'lulusan']","prodi teknik informatika ugm berhasil menerapkan kurikulum obe hasil memuaskan terlihat peningkatan kualitas lulusan"
"criticalthink outcome based education hanyalah tren pendidikan yang tidak benar-benar berdampak pada kualitas pembelajaran","['criticalthink', 'outcome', 'based', 'education', 'hanyalah', 'tren', 'pendidikan', 'tidak', 'benar-benar', 'berdampak', 'kualitas', 'pembelajaran']","criticalthink outcome based education hanyalah tren pendidikan tidak benar-benar berdampak kualitas pembelajaran"
"edutechforum sistem evaluasi berbasis hasil memerlukan instrumen penilaian yang valid dan reliabel untuk mengukur capaian","['edutechforum', 'sistem', 'evaluasi', 'berbasis', 'hasil', 'memerlukan', 'instrumen', 'penilaian', 'valid', 'reliabel', 'mengukur', 'capaian']","edutechforum sistem evaluasi berbasis hasil memerlukan instrumen penilaian valid reliabel mengukur capaian"
"penmegasolusiedu telah menyelenggarakan pelatihan implementasi obe untuk 500 guru sekolah menengah di bandung bulan lalu","['penmegasolusiedu', 'telah', 'menyelenggarakan', 'pelatihan', 'implementasi', 'obe', '500', 'guru', 'sekolah', 'menengah', 'bandung', 'bulan', 'lalu']","penmegasolusiedu telah menyelenggarakan pelatihan implementasi obe 500 guru sekolah menengah bandung bulan lalu"
"pedagogimodern penerapan outcome based education di indonesia masih setengah hati banyak kampus hanya mengganti nama saja","['pedagogimodern', 'penerapan', 'outcome', 'based', 'education', 'indonesia', 'masih', 'setengah', 'hati', 'banyak', 'kampus', 'hanya', 'mengganti', 'nama', 'saja']","pedagogimodern penerapan outcome based education indonesia masih setengah hati banyak kampus hanya mengganti nama saja"
"dosen uns yogyakarta sedang mengikuti workshop penyusunan rps berbasis outcome based education untuk tahun akademik baru","['dosen', 'uns', 'yogyakarta', 'sedang', 'mengikuti', 'workshop', 'penyusunan', 'rps', 'berbasis', 'outcome', 'based', 'education', 'tahun', 'akademik', 'baru']","dosen uns yogyakarta sedang mengikuti workshop penyusunan rps berbasis outcome based education tahun akademik baru"
"learningtech2025 kurikulum obe memberikan fleksibilitas lebih bagi dosen dalam merancang pembelajaran sesuai kebutuhan industri","['learningtech2025', 'kurikulum', 'obe', 'memberikan', 'fleksibilitas', 'lebih', 'bagi', 'dosen', 'dalam', 'merancang', 'pembelajaran', 'sesuai', 'kebutuhan', 'industri']","learningtech2025 kurikulum obe memberikan fleksibilitas lebih bagi dosen dalam merancang pembelajaran sesuai kebutuhan industri"
"qaacommittee kampus kami sedang dalam masa transisi menuju kurikulum berbasis hasil butuh support dari seluruh stakeholder","['qaacommittee', 'kampus', 'sedang', 'masa', 'transisi', 'menuju', 'kurikulum', 'berbasis', 'hasil', 'butuh', 'support', 'seluruh', 'stakeholder']","qaacommittee kampus sedang masa transisi menuju kurikulum berbasis hasil butuh support seluruh stakeholder"
"facultydevelopment pemahaman tentang konstruktif alignment sangat penting dalam implementasi obe yang efektif di perguruan tinggi","['facultydevelopment', 'pemahaman', 'konstruktif', 'alignment', 'sangat', 'penting', 'implementasi', 'obe', 'efektif', 'perguruan', 'tinggi']","facultydevelopment pemahaman konstruktif alignment sangat penting implementasi obe efektif perguruan tinggi"
