full_text,tokens,processed_text
obe ini hanya bikin kerja guru makin berat administrasinya banyak sekali sedangkan gajinya tetep segitugitu saja,"['obe', 'bikin', 'kerja', 'guru', 'berat', 'administrasi', 'gaji', 'tetep', 'segitugitu']",obe bikin kerja guru berat administrasi gaji tetep segitugitu
tidak ngerti kenapa indonesia selalu ikutikutan tren kurikulum dari luar obe ini hanya kedok buat naikin standar akreditasi saja,"['ngerti', 'indonesia', 'ikutikutan', 'tren', 'kurikulum', 'obe', 'kedok', 'naikin', 'standar', 'akreditasi']",ngerti indonesia ikutikutan tren kurikulum obe kedok naikin standar akreditasi
kampus saya sudah setahun pakai obe tapi tidak ada perubahan signifikan dosen masih ngajar dengan cara yang sama,"['kampus', 'tahun', 'pakai', 'obe', 'ubah', 'signifikan', 'dosen', 'ngajar']",kampus tahun pakai obe ubah signifikan dosen ngajar
saya sebagai dosen senior merasa obe ini hanya mempersulit sistem yang sudah berjalan baik banyak form yang harus diisi,"['dosen', 'senior', 'obe', 'sulit', 'sistem', 'jalan', 'form', 'isi']",dosen senior obe sulit sistem jalan form isi
obe bikin mahasiswa jadi robot yang hanya diukur dari outcomes padahal pendidikan harusnya lebih dari itu,"['obe', 'bikin', 'mahasiswa', 'robot', 'ukur', 'outcomes', 'didik']",obe bikin mahasiswa robot ukur outcomes didik
tiap ganti menteri pasti ganti kurikulum sekarang obe besok apa lagi kasihan guruguru yang jadi kelinci percobaan,"['ganti', 'menteri', 'ganti', 'kurikulum', 'obe', 'besok', 'kasihan', 'guruguru', 'kelinci', 'coba']",ganti menteri ganti kurikulum obe besok kasihan guruguru kelinci coba
penerapan obe di kampus kami asalasalan hanya ganti template rps saja tanpa ada perubahan substansi,"['terap', 'obe', 'kampus', 'asalasalan', 'ganti', 'template', 'rps', 'ubah', 'substansi']",terap obe kampus asalasalan ganti template rps ubah substansi
susah sekali nerapin obe di kelas seni soalnya outcomesnya tidak bisa diukur pakai angka saja,"['susah', 'nerapin', 'obe', 'kelas', 'seni', 'outcomesnya', 'ukur', 'pakai', 'angka']",susah nerapin obe kelas seni outcomesnya ukur pakai angka
obe ini hanya jargon akademis baru yang bikin pusing dosen prakteknya tidak ada bedanya sama kurikulum sebelumnya,"['obe', 'jargon', 'akademis', 'bikin', 'pusing', 'dosen', 'praktek', 'beda', 'kurikulum']",obe jargon akademis bikin pusing dosen praktek beda kurikulum
sudah setahun kampus kami pakai obe tapi mahasiswa malah jadi stres karena terlalu fokus ke outcome bukan ke proses belajar,"['tahun', 'kampus', 'pakai', 'obe', 'mahasiswa', 'stres', 'fokus', 'outcome', 'proses', 'ajar']",tahun kampus pakai obe mahasiswa stres fokus outcome proses ajar
kemdikbud maksa semua kampus terapin obe padahal belum ada panduan jelas jadinya masingmasing kampus interpretasi sendiri,"['kemdikbud', 'maksa', 'kampus', 'terapin', 'obe', 'pandu', 'masingmasing', 'kampus', 'interpretasi']",kemdikbud maksa kampus terapin obe pandu masingmasing kampus interpretasi
obe ini konsepnya dari negara maju yang punya resource banyak gimana ingin diterapin di indonesia yang masih kekurangan guru,"['obe', 'konsep', 'negara', 'maju', 'resource', 'gimana', 'diterapin', 'indonesia', 'kurang', 'guru']",obe konsep negara maju resource gimana diterapin indonesia kurang guru
dosendosen pada bingung sama obe pelatihan hanya sehari terus disuruh langsung praktekin mana bisa langsung ngerti,"['dosendosen', 'bingung', 'obe', 'latih', 'hari', 'suruh', 'langsung', 'praktekin', 'langsung', 'ngerti']",dosendosen bingung obe latih hari suruh langsung praktekin langsung ngerti
pendidikan berbasis hasil itu seperti kapitalisme masuk dunia pendidikan mahasiswa jadi produk yang harus sesuai permintaan pasar,"['didik', 'basis', 'hasil', 'kapitalisme', 'masuk', 'dunia', 'didik', 'mahasiswa', 'produk', 'sesuai', 'minta', 'pasar']",didik basis hasil kapitalisme masuk dunia didik mahasiswa produk sesuai minta pasar
bingung sama obe ini kalau implementasinya asalasalan ya sama saja bohong hanya ganti istilah saja,"['bingung', 'obe', 'implementasi', 'asalasalan', 'ya', 'bohong', 'ganti', 'istilah']",bingung obe implementasi asalasalan ya bohong ganti istilah
garagara obe beban administratif dosen jadi berlipat ganda kapan fokusnya ngajar kalau kerjaannya ngisi form mulu,"['garagara', 'obe', 'beban', 'administratif', 'dosen', 'lipat', 'ganda', 'fokus', 'ngajar', 'kerja', 'ngisi', 'form', 'mulu']",garagara obe beban administratif dosen lipat ganda fokus ngajar kerja ngisi form mulu
kampus kami diwajibkan pakai obe tahun depan tapi belum ada pelatihan sama sekali gimana cara implementasinya coba,"['kampus', 'wajib', 'pakai', 'obe', 'latih', 'gimana', 'implementasi', 'coba']",kampus wajib pakai obe latih gimana implementasi coba
obe malah bikin kreativitas siswa terbatas soalnya semua sudah ada standarnya tidak boleh keluar dari jalur,"['obe', 'bikin', 'kreativitas', 'siswa', 'batas', 'standar', 'jalur']",obe bikin kreativitas siswa batas standar jalur
sebel sekali sama kurikulum obe bikin tugas jadi lebih banyak padahal tidak nambah pemahaman,"['sebel', 'kurikulum', 'obe', 'bikin', 'tugas', 'nambah', 'paham']",sebel kurikulum obe bikin tugas nambah paham
kalau obe diimplementasikan dengan setengah hati malah bikin kualitas pendidikan turun daripada naik,"['obe', 'implementasi', 'hati', 'bikin', 'kualitas', 'didik', 'turun']",obe implementasi hati bikin kualitas didik turun
tidak setuju sama konsep obe yang terlalu fokus ke hasil proses belajar juga penting buat pengembangan karakter,"['tuju', 'konsep', 'obe', 'fokus', 'hasil', 'proses', 'ajar', 'kembang', 'karakter']",tuju konsep obe fokus hasil proses ajar kembang karakter
saya sebagai mahasiswa ngerasa obe malah bikin beban belajar tambah berat tugas numpuk tapi tidak nyambung satu sama lain,"['mahasiswa', 'ngerasa', 'obe', 'bikin', 'beban', 'ajar', 'berat', 'tugas', 'numpuk', 'nyambung']",mahasiswa ngerasa obe bikin beban ajar berat tugas numpuk nyambung
obe itu bagus di teori tapi kalau infrastruktur pendidikan masih kurang ya percuma saja,"['obe', 'bagus', 'teori', 'infrastruktur', 'didik', 'ya']",obe bagus teori infrastruktur didik ya
kampus saya hanya ganti nama saja jadi kurikulum obe padahal isinya masih sama persis seperti kurikulum lama,"['kampus', 'ganti', 'nama', 'kurikulum', 'obe', 'isi', 'persis', 'kurikulum']",kampus ganti nama kurikulum obe isi persis kurikulum
pusing sekali sama obe guruguru pada stres bikin dokumen penilaian yang ribet sekali,"['pusing', 'obe', 'guruguru', 'stres', 'bikin', 'dokumen', 'nilai', 'ribet']",pusing obe guruguru stres bikin dokumen nilai ribet
obe bikin pengajaran jadi kaku padahal setiap kelas punya dinamika berbeda yang butuh pendekatan fleksibel,"['obe', 'bikin', 'ajar', 'kaku', 'kelas', 'dinamika', 'beda', 'butuh', 'dekat', 'fleksibel']",obe bikin ajar kaku kelas dinamika beda butuh dekat fleksibel
menurut saya obe ini hanya buangbuang waktu dan tenaga kualitas pendidikan indonesia tidak akan membaik hanya garagara ganti kurikulum,"['obe', 'buangbuang', 'tenaga', 'kualitas', 'didik', 'indonesia', 'baik', 'garagara', 'ganti', 'kurikulum']",obe buangbuang tenaga kualitas didik indonesia baik garagara ganti kurikulum
setelah nerapin obe waktu dosen habis buat bikin dokumen administratif daripada ngajar dan riset,"['nerapin', 'obe', 'dosen', 'habis', 'bikin', 'dokumen', 'administratif', 'ngajar', 'riset']",nerapin obe dosen habis bikin dokumen administratif ngajar riset
obe terlalu fokus ke assessment lamalama mahasiswa hanya belajar buat lulus ujian bukan buat dapetin ilmu,"['obe', 'fokus', 'assessment', 'lamalama', 'mahasiswa', 'ajar', 'lulus', 'uji', 'dapetin', 'ilmu']",obe fokus assessment lamalama mahasiswa ajar lulus uji dapetin ilmu
penerapan obe di sekolah kami bikin guruguru tambah stres banyak yang ingin resign garagara beban kerjanya nambah,"['terap', 'obe', 'sekolah', 'bikin', 'guruguru', 'stres', 'resign', 'garagara', 'beban', 'kerja', 'nambah']",terap obe sekolah bikin guruguru stres resign garagara beban kerja nambah
obe ini kedoknya untuk tingkatin kualitas tapi sebenernya hanya untuk kepentingan akreditasi saja,"['obe', 'kedok', 'tingkatin', 'kualitas', 'sebenernya', 'penting', 'akreditasi']",obe kedok tingkatin kualitas sebenernya penting akreditasi
tidak ngerti sama logika obe katanya fokus ke hasil tapi malah bikin prosesnya jadi lebih rumit,"['ngerti', 'logika', 'obe', 'fokus', 'hasil', 'bikin', 'proses', 'rumit']",ngerti logika obe fokus hasil bikin proses rumit
sudah 3 bulan kampus kami terapin obe so far tidak ada perubahan signifikan selain paperwork yang nambah banyak,"['3', 'kampus', 'terapin', 'obe', 'so', 'far', 'ubah', 'signifikan', 'paperwork', 'nambah']",3 kampus terapin obe so far ubah signifikan paperwork nambah
obe bikin mahasiswa jadi kurang kreatif mereka hanya fokus ke rubrik penilaian bukan ke eksplorasi ilmu,"['obe', 'bikin', 'mahasiswa', 'kreatif', 'fokus', 'rubrik', 'nilai', 'eksplorasi', 'ilmu']",obe bikin mahasiswa kreatif fokus rubrik nilai eksplorasi ilmu
capek sekali sumpah setiap ganti pejabat pasti ganti kurikulum sekarang obe nanti kalau ganti menteri ganti lagi,"['capek', 'sumpah', 'ganti', 'jabat', 'ganti', 'kurikulum', 'obe', 'ganti', 'menteri', 'ganti']",capek sumpah ganti jabat ganti kurikulum obe ganti menteri ganti
obe ini malah bikin gap antara kampus kaya dan kampus miskin makin lebar soalnya implementasinya butuh resource banyak,"['obe', 'bikin', 'gap', 'kampus', 'kaya', 'kampus', 'miskin', 'lebar', 'implementasi', 'butuh', 'resource']",obe bikin gap kampus kaya kampus miskin lebar implementasi butuh resource
banyak dosen yang resist sama obe karena tidak ada insentif tambahan padahal beban kerja nambah,"['dosen', 'resist', 'obe', 'insentif', 'tambah', 'beban', 'kerja', 'nambah']",dosen resist obe insentif tambah beban kerja nambah
sistem obe bikin guru fokus ke administrasi ketimbang pengajaran kasihan murid jadi korban,"['sistem', 'obe', 'bikin', 'guru', 'fokus', 'administrasi', 'ketimbang', 'ajar', 'kasihan', 'murid', 'korban']",sistem obe bikin guru fokus administrasi ketimbang ajar kasihan murid korban
obe itu hanya istilah keren buat system yang sebenernya sudah ada dari dulu marketing saja,"['obe', 'istilah', 'keren', 'system', 'sebenernya', 'marketing']",obe istilah keren system sebenernya marketing
di kampus kami obe hanya jadi syarat akreditasi saja prakteknya masih pakai cara lama,"['kampus', 'obe', 'syarat', 'akreditasi', 'praktek', 'pakai']",kampus obe syarat akreditasi praktek pakai
tidak efektif sekali obe ini mahasiswa jadi kebingungan karena setiap dosen interpretasinya bedabeda,"['efektif', 'obe', 'mahasiswa', 'bingung', 'dosen', 'interpretasi', 'bedabeda']",efektif obe mahasiswa bingung dosen interpretasi bedabeda
obe malah bikin standardisasi yang ketat padahal setiap siswa punya kecepatan belajar yang berbeda,"['obe', 'bikin', 'standardisasi', 'ketat', 'siswa', 'cepat', 'ajar', 'beda']",obe bikin standardisasi ketat siswa cepat ajar beda
implementasi obe di sekolah kami berantakan sekali guruguru pada bingung cara penilaiannya gimana,"['implementasi', 'obe', 'sekolah', 'beranta', 'guruguru', 'bingung', 'nilai', 'gimana']",implementasi obe sekolah beranta guruguru bingung nilai gimana
saya tidak setuju sama kurikulum obe yang terlalu ikutin kebutuhan industri pendidikan bukan hanya soal kerja,"['tuju', 'kurikulum', 'obe', 'ikutin', 'butuh', 'industri', 'didik', 'kerja']",tuju kurikulum obe ikutin butuh industri didik kerja
obe bikin saya sebagai guru jadi lebih banyak ngurusin dokumen daripada fokus ke pengajaran,"['obe', 'bikin', 'guru', 'ngurusin', 'dokumen', 'fokus', 'ajar']",obe bikin guru ngurusin dokumen fokus ajar
