full_text,tokens,processed_text
guruguru jadi korban dari kurikulum obe yang berbelitbelit,"['guruguru', 'korban', 'kurikulum', 'obe', 'berbelitbelit']",guruguru korban kurikulum obe berbelitbelit
administrasi obe ini bikin guru capek mental,"['administrasi', 'obe', 'bikin', 'guru', 'capek', 'mental']",administrasi obe bikin guru capek mental
obe malah bikin anakanak stress karena terlalu banyak project,"['obe', 'bikin', 'anakanak', 'stress', 'project']",obe bikin anakanak stress project
kualitas obe bagus siswa jadi lebih mandiri dalam belajar,"['kualitas', 'obe', 'bagus', 'siswa', 'mandiri', 'ajar']",kualitas obe bagus siswa mandiri ajar
pemerintah asal nerapin obe tanpa liat kondisi sekolah di daerah,"['perintah', 'nerapin', 'obe', 'liat', 'kondisi', 'sekolah', 'daerah']",perintah nerapin obe liat kondisi sekolah daerah
ya gitu obe tidak ada yang spesialspesial amat,"['ya', 'gitu', 'obe', 'spesialspesial']",ya gitu obe spesialspesial
anakanak lebih suka belajar dengan metode obe yang interaktif,"['anakanak', 'suka', 'ajar', 'metode', 'obe', 'interaktif']",anakanak suka ajar metode obe interaktif
obe mah hanya program pencitraan pemerintah saja,"['obe', 'mah', 'program', 'citra', 'perintah']",obe mah program citra perintah
suka sekali sama konsep obe yang bikin anak lebih aktif,"['suka', 'konsep', 'obe', 'bikin', 'anak', 'aktif']",suka konsep obe bikin anak aktif
sekolah di pelosok mana bisa ngikutin standar obe yang tinggi,"['sekolah', 'pelosok', 'ngikutin', 'standar', 'obe']",sekolah pelosok ngikutin standar obe
obe malah bikin kesenjangan pendidikan makin lebar,"['obe', 'bikin', 'senjang', 'didik', 'lebar']",obe bikin senjang didik lebar
projectproject obe bikin anakanak lebih kreatif,"['projectproject', 'obe', 'bikin', 'anakanak', 'kreatif']",projectproject obe bikin anakanak kreatif
belum semua guru paham cara ngajar pakai obe,"['guru', 'paham', 'ngajar', 'pakai', 'obe']",guru paham ngajar pakai obe
obe membebani guru dengan administrasi yang tidak perlu,"['obe', 'beban', 'guru', 'administrasi']",obe beban guru administrasi
pembelajaran jadi lebih bermakna dengan pendekatan obe,"['ajar', 'makna', 'dekat', 'obe']",ajar makna dekat obe
gontaganti kurikulum malah bikin siswa jadi kelinci percobaan,"['gontaganti', 'kurikulum', 'bikin', 'siswa', 'kelinci', 'coba']",gontaganti kurikulum bikin siswa kelinci coba
menurut saya obe hanya ganti bungkus saja isinya sama,"['obe', 'ganti', 'bungkus', 'isi']",obe ganti bungkus isi
obe bagus untuk pengembangan skill anak di era digital,"['obe', 'bagus', 'kembang', 'skill', 'anak', 'era', 'digital']",obe bagus kembang skill anak era digital
beban kerja guru bertambah dua kali lipat sejak obe,"['beban', 'kerja', 'guru', 'tambah', 'kali', 'lipat', 'obe']",beban kerja guru tambah kali lipat obe
obe bikin anakanak lebih bisa kerja tim,"['obe', 'bikin', 'anakanak', 'kerja', 'tim']",obe bikin anakanak kerja tim
guruguru butuh pelatihan lebih banyak untuk obe,"['guruguru', 'butuh', 'latih', 'obe']",guruguru butuh latih obe
metode obe ngebosenin buat anakanak yang aktif,"['metode', 'obe', 'ngebosenin', 'anakanak', 'aktif']",metode obe ngebosenin anakanak aktif
obe membantu anak memahami tujuan belajar dengan lebih jelas,"['obe', 'bantu', 'anak', 'paham', 'tuju', 'ajar']",obe bantu anak paham tuju ajar
sekolah kami kekurangan sarana untuk nerapin obe dengan baik,"['sekolah', 'kurang', 'sarana', 'nerapin', 'obe']",sekolah kurang sarana nerapin obe
platform digital buat obe sering error jadi tambah ribet,"['platform', 'digital', 'obe', 'error', 'ribet']",platform digital obe error ribet
siswa jadi lebih bersemangat ikut pelajaran sejak pakai obe,"['siswa', 'semangat', 'ajar', 'pakai', 'obe']",siswa semangat ajar pakai obe
bikin pusing saja administrasi obe yang ruwet,"['bikin', 'pusing', 'administrasi', 'obe', 'ruwet']",bikin pusing administrasi obe ruwet
metode penilaian obe lebih adil buat siswa dengan berbagai kemampuan,"['metode', 'nilai', 'obe', 'adil', 'siswa', 'mampu']",metode nilai obe adil siswa mampu
susah nerapin obe kalau jumlah murid di kelas terlalu banyak,"['susah', 'nerapin', 'obe', 'murid', 'kelas']",susah nerapin obe murid kelas
obe ini bagus buat persiapan anak ke dunia kerja masa depan,"['obe', 'bagus', 'siap', 'anak', 'dunia', 'kerja']",obe bagus siap anak dunia kerja
kurikulum obe ngabisin anggaran sekolah buat pelatihan guru,"['kurikulum', 'obe', 'ngabisin', 'anggar', 'sekolah', 'latih', 'guru']",kurikulum obe ngabisin anggar sekolah latih guru
ya gitu obe kadang bagus kadang enggak,"['ya', 'gitu', 'obe', 'kadang', 'bagus', 'kadang']",ya gitu obe kadang bagus kadang
sistem obe membantu anak lebih percaya diri dalam belajar,"['sistem', 'obe', 'bantu', 'anak', 'percaya', 'ajar']",sistem obe bantu anak percaya ajar
budget sekolah habis buat beli perlengkapan obe,"['budget', 'sekolah', 'habis', 'beli', 'lengkap', 'obe']",budget sekolah habis beli lengkap obe
penilaian di obe terlalu subjektif bikin bingung,"['nilai', 'obe', 'subjektif', 'bikin', 'bingung']",nilai obe subjektif bikin bingung
