full_text
"OBE ini cuma bikin kerja guru makin berat, administrasinya banyak banget sedangkan gajinya tetep segitu-gitu aja."
"Gak ngerti kenapa Indonesia selalu ikut-ikutan tren kurikulum dari luar, OBE ini cuma kedok buat naikin standar akreditasi aja."
"Kampus saya udah setahun pake OBE tapi gak ada perubahan signifikan, dosen masih ngajar dengan cara yang sama."
"Saya sebagai dosen senior merasa OBE ini cuma mempersulit sistem yang udah berjalan baik, banyak form yang harus diisi."
"OBE bikin mahasiswa jadi robot yang cuma diukur dari outcomes, padahal pendidikan harusnya lebih dari itu."
"Tiap ganti menteri pasti ganti kurikulum, sekarang OBE besok apa lagi? Kasihan guru-guru yang jadi kelinci percobaan."
"Penerapan OBE di kampus kami asal-asalan, cuma ganti template RPS doang tanpa ada perubahan substansi."
"Susah banget nerapin OBE di kelas seni, soalnya outcomes-nya gak bisa diukur pake angka doang."
"OBE ini cuma jargon akademis baru yang bikin pusing dosen, prakteknya gak ada bedanya sama kurikulum sebelumnya."
"Udah setahun kampus kami pake OBE tapi mahasiswa malah jadi stres, karena terlalu fokus ke outcome bukan ke proses belajar."
"Kemdikbud maksa semua kampus terapin OBE padahal belum ada panduan jelas, jadinya masing-masing kampus interpretasi sendiri."
"OBE ini konsepnya dari negara maju yang punya resource banyak, gimana mau diterapin di Indonesia yang masih kekurangan guru?"
"Dosen-dosen pada bingung sama OBE, pelatihan cuma sehari terus disuruh langsung praktekin, mana bisa langsung ngerti?"
"Pendidikan berbasis hasil itu kayak kapitalisme masuk dunia pendidikan, mahasiswa jadi produk yang harus sesuai permintaan pasar."
"Bingung deh sama OBE ini, kalo implementasinya asal-asalan ya sama aja bohong, cuma ganti istilah doang."
"Gara-gara OBE, beban administratif dosen jadi berlipat ganda, kapan fokusnya ngajar kalo kerjaannya ngisi form mulu?"
"Kampus kami diwajibkan pake OBE tahun depan, tapi belum ada pelatihan sama sekali, gimana cara implementasinya coba?"
"OBE malah bikin kreativitas siswa terbatas, soalnya semua udah ada standarnya, gak boleh keluar dari jalur."
"Sebel banget sama kurikulum OBE, bikin tugas jadi lebih banyak padahal gak nambah pemahaman."
"Kalau OBE diimplementasikan dengan setengah hati, malah bikin kualitas pendidikan turun daripada naik."
"Gak setuju sama konsep OBE yang terlalu fokus ke hasil, proses belajar juga penting dong buat pengembangan karakter."
"Saya sebagai mahasiswa ngerasa OBE malah bikin beban belajar tambah berat, tugas numpuk tapi gak nyambung satu sama lain."
"OBE itu bagus di teori, tapi kalau infrastruktur pendidikan masih kurang ya percuma aja."
"Kampus saya cuma ganti nama doang jadi kurikulum OBE, padahal isinya masih sama persis kayak kurikulum lama."
"Pusing banget sama OBE, guru-guru pada stres bikin dokumen penilaian yang ribet banget."
"OBE bikin pengajaran jadi kaku, padahal setiap kelas punya dinamika berbeda yang butuh pendekatan fleksibel."
"Menurut saya OBE ini cuma buang-buang waktu dan tenaga, kualitas pendidikan Indonesia gak akan membaik cuma gara-gara ganti kurikulum."
"Setelah nerapin OBE, waktu dosen habis buat bikin dokumen administratif daripada ngajar dan riset."
"OBE terlalu fokus ke assessment, lama-lama mahasiswa cuma belajar buat lulus ujian bukan buat dapetin ilmu."
"Penerapan OBE di sekolah kami bikin guru-guru tambah stres, banyak yang mau resign gara-gara beban kerjanya nambah."
"OBE ini kedoknya sih untuk tingkatin kualitas, tapi sebenernya cuma untuk kepentingan akreditasi doang."
"Gak ngerti sama logika OBE, katanya fokus ke hasil tapi malah bikin prosesnya jadi lebih rumit."
"Udah 3 bulan kampus kami terapin OBE, so far gak ada perubahan signifikan selain paperwork yang nambah banyak."
"OBE bikin mahasiswa jadi kurang kreatif, mereka cuma fokus ke rubrik penilaian bukan ke eksplorasi ilmu."
"Capek banget sumpah setiap ganti pejabat pasti ganti kurikulum, sekarang OBE, nanti kalo ganti menteri ganti lagi."
"OBE ini malah bikin gap antara kampus kaya dan kampus miskin makin lebar, soalnya implementasinya butuh resource banyak."
"Banyak dosen yang resist sama OBE karena gak ada insentif tambahan padahal beban kerja nambah."
"Sistem OBE bikin guru fokus ke administrasi ketimbang pengajaran, kasihan murid jadi korban."
"OBE itu cuma istilah keren buat system yang sebenernya udah ada dari dulu, marketing doang."
"Di kampus kami, OBE cuma jadi syarat akreditasi doang, prakteknya masih pake cara lama."
"Gak efektif banget OBE ini, mahasiswa jadi kebingungan karena setiap dosen interpretasinya beda-beda."
"OBE malah bikin standardisasi yang ketat, padahal setiap siswa punya kecepatan belajar yang berbeda."
"Implementasi OBE di sekolah kami berantakan banget, guru-guru pada bingung cara penilaiannya gimana."
"Saya gak setuju sama kurikulum OBE yang terlalu ikutin kebutuhan industri, pendidikan bukan cuma soal kerja."
"OBE bikin saya sebagai guru jadi lebih banyak ngurusin dokumen daripada fokus ke pengajaran."
"Demi OBE, kampus kami sampe ngabisin dana buat konsultan, padahal yang dibutuhin cuma perbaikan fasilitas."
"OBE ini cuma jargon kosong, di lapangan implementasinya amburadul karena gak ada panduan yang jelas."
"Gara-gara OBE, waktu buat penelitian jadi berkurang karena dosen sibuk bikin dokumen assessment."
"OBE malah bikin mahasiswa jadi kurang kritis, mereka cuma fokus ke standar minimum yang harus dicapai."
"Sebagai guru saya ngerasa OBE ini cuma nambah beban administratif tanpa manfaat yang jelas buat siswa."
"OBE ini cuma alat pemerintah buat standarisasi pendidikan, padahal setiap daerah punya keunikan dan kebutuhan berbeda."
"Implementasi OBE di kampus kami cuma setengah-setengah, jadinya malah bikin bingung semua pihak."
"OBE malah bikin pendidikan jadi industri yang cuma fokus ke output, bukan ke perkembangan manusianya."
"Kalau OBE mau sukses di Indonesia, gak cukup cuma ganti kurikulum, mindset dan infrastrukturnya juga harus dibenahi."
"Gak ngerti deh sama kementerian, maksa semua kampus terapin OBE tapi gak dikasih dana tambahan."
"OBE bikin pendidikan kehilangan soul-nya, semuanya jadi terukur dan terstandarisasi secara kaku."
"Kampus kami udah terapin OBE tapi feedbacknya negatif dari mahasiswa, katanya tugas jadi lebih banyak tapi gak relevan."
"Terlalu banyak administrasi di OBE, kapan ngajarnya kalau waktu habis buat ngurusin dokumen?"
"OBE ini bagus di negara yang sistem pendidikannya udah mapan, kalau di Indonesia malah jadi beban tambahan."
"Menurut survei internal, 70% dosen kami gak setuju sama implementasi OBE karena terlalu birokratis."
"OBE malah bikin mahasiswa jadi stres, mereka cuma fokus ke nilai bukan ke pemahaman materi."
"Kampus2 pada rame-rame terapin OBE padahal gak paham esensinya, yang penting bisa ditulis di borang akreditasi."
"OBE ini konsepnya udah ketinggalan jaman, negara yang menciptakannya aja udah mulai beralih ke model yang lebih fleksibel."
"Gara-gara fokus ke OBE, kampus kami malah ngelupain masalah fundamental kayak fasilitas yang masih kurang."
"OBE yang cuma ganti format silabus tanpa ubah metode pengajaran itu cuma buang-buang waktu dan energi."
"Nggak ngerti lagi sama pemerintah, kurikulum ganti terus, kasihan guru-guru yang selalu jadi korban."
"OBE ternyata bikin gap antara teori dan praktek makin lebar, mahasiswa jadi robot yang cuma fokus ke nilai."
"Udah 2 tahun kampus kami terapin OBE tapi kualitas lulusan tetep aja sama, gak ada peningkatan signifikan."
"Sebagai dosen saya merasa OBE ini cuma bikin ribet doang, banyak form yang harus diisi tapi esensinya hilang."
"OBE malah bikin pendidikan jadi kehilangan dimensi humanisnya, semua diukur pake angka doang."
"Kecewa banget sama implementasi OBE di kampus kami, cuma jadi proyek dandan-dandan dokumen buat akreditasi."
"Gak semua ilmu bisa diukur pake OBE, misalnya filsafat atau seni, masa harus disimplifikasi jadi outcomes yang kaku?"
"OBE ini konsepnya kayak industrialisasi pendidikan, mahasiswa diproduksi sesuai permintaan pasar."
"Saya udah 20 tahun jadi dosen, dan OBE ini cuma daur ulang dari konsep yang udah pernah gagal sebelumnya."
"Gara-gara OBE, dosen jadi fokus ke administratif bukan ke peningkatan kualitas pengajaran."
"OBE malah bikin pendidikan kehilangan unsur kemanusiaannya, semua distandarisasi kayak pabrik."
"Udah capek dengerin jargon OBE, toh pada akhirnya yang diukur cuma nilai ujian doang."
"Konsep OBE bagus tapi implementasinya berantakan, jadinya malah bikin tambah kacau sistem pendidikan."
"OBE ini cuma buat yang punya resource banyak, kampus kecil kayak kami malah kesusahan implementasinya."
"Gak adil banget maksa semua kampus terapin OBE tanpa pertimbangkan kondisi dan kemampuan masing-masing."
"OBE bikin mata kuliah yang sifatnya eksplorasi jadi kaku, semuanya dipaksa punya outcome yang terukur."
"Implementasi OBE di kampus kami cuma untuk pencitraan, dalamnya masih sama aja kayak dulu."
"Sebagai mahasiswa saya ngerasa jadi kelinci percobaan gara-gara OBE, dosennya aja masih bingung gimana nerapinnya."
"OBE ini konsepnya bagus tapi prakteknya amburadul, malah bikin sistem pendidikan tambah berantakan."
"Gak habis pikir sama Kemdikbud, bukannya benerin masalah fundamental malah sibuk ganti-ganti kurikulum."
"OBE ternyata malah membebani mahasiswa dengan tugas yang banyak tapi gak substantif."
"Udah 6 bulan kami pake OBE, feedbacknya negatif dari siswa dan guru, pada bingung semua."
"OBE ini ibaratnya ganti bungkus tapi isinya sama, cuma biar keliatan kekinian doang."
"Kampus kami terpaksa terapin OBE gara-gara takut akreditasinya turun, padahal sebenernya belum siap."
"Lelah banget tiap tahun ada sistem baru, dulu K13 sekarang OBE, capek ngikutinnya."
"OBE bikin pendidikan jadi mechanical, hilang sentuhan personal antara guru dan murid."
"Saya gak yakin OBE bisa sukses di Indonesia, soalnya mindset pendidikan kita masih fokus ke hafalan bukan pemahaman."
"Setelah nerapin OBE, malah bikin dosen jadi admin daripada pendidik, waktunya habis buat urus dokumen."
"Gak ngerti kenapa kampus kami ngotot implementasi OBE padahal jelas-jelas belum siap dari segi SDM dan infrastruktur."
"OBE ini ibaratnya beli baju mahal tapi gak cocok di badan, dipaksa-paksain malah jadi aneh."
"Sejak kampus kami pake OBE, dosen-dosen pada stress karena workload nambah tapi kompensasi tetep sama."
"OBE malah bikin mahasiswa jadi kurang eksploratif, mereka cuma belajar yang ada di rubrik penilaian doang."
