"full_text","tokens","processed_text","label"
"saya tidak setuju sama kurikulum obe yang terlalu ikutin kebutuhan industri pendidikan bukan hanya soal kerja","['tuju', 'kurikulum', 'obe', 'ikutin', 'butuh', 'industri', 'didik', 'kerja']","tuju kurikulum obe ikutin butuh industri didik kerja","negatif"
"obe bikin saya sebagai guru jadi lebih banyak ngurusin dokumen daripada fokus ke pengajaran","['obe', 'bikin', 'guru', 'ngurusin', 'dokumen', 'fokus', 'ajar']","obe bikin guru ngurusin dokumen fokus ajar","negatif"
"demi obe kampus kami sampai ngabisin dana buat konsultan padahal yang dibutuhin hanya perbaikan fasilitas","['obe', 'kampus', 'ngabisin', 'dana', 'konsultan', 'dibutuhin', 'baik', 'fasilitas']","obe kampus ngabisin dana konsultan dibutuhin baik fasilitas","negatif"
"obe ini hanya jargon kosong di lapangan implementasinya amburadul karena tidak ada panduan yang jelas","['obe', 'jargon', 'kosong', 'lapang', 'implementasi', 'amburadul', 'pandu']","obe jargon kosong lapang implementasi amburadul pandu","negatif"
"garagara obe waktu buat penelitian jadi berkurang karena dosen sibuk bikin dokumen assessment","['garagara', 'obe', 'teliti', 'kurang', 'dosen', 'sibuk', 'bikin', 'dokumen', 'assessment']","garagara obe teliti kurang dosen sibuk bikin dokumen assessment","negatif"
"obe malah bikin mahasiswa jadi kurang kritis mereka hanya fokus ke standar minimum yang harus dicapai","['obe', 'bikin', 'mahasiswa', 'kritis', 'fokus', 'standar', 'minimum', 'capai']","obe bikin mahasiswa kritis fokus standar minimum capai","negatif"
"sebagai guru saya ngerasa obe ini hanya nambah beban administratif tanpa manfaat yang jelas buat siswa","['guru', 'ngerasa', 'obe', 'nambah', 'beban', 'administratif', 'manfaat', 'siswa']","guru ngerasa obe nambah beban administratif manfaat siswa","negatif"
"obe ini hanya alat pemerintah buat standarisasi pendidikan padahal setiap daerah punya keunikan dan kebutuhan berbeda","['obe', 'alat', 'perintah', 'standar', 'didik', 'daerah', 'uni', 'butuh', 'beda']","obe alat perintah standar didik daerah uni butuh beda","negatif"
"implementasi obe di kampus kami hanya setengahsetengah jadinya malah bikin bingung semua pihak","['implementasi', 'obe', 'kampus', 'setengahsetengah', 'bikin', 'bingung']","implementasi obe kampus setengahsetengah bikin bingung","negatif"
"moi university school of engineering melakukan seminar bimbingan staf tentang pendidikan berbasis hasil obe engineersboard theiek eackenyaya","['moi', 'university', 'school', 'of', 'engineering', 'seminar', 'bimbingan', 'staf', 'pendidikan', 'basis', 'hasil', 'obe', 'engineersboard', 'theiek', 'eackenyaya']","moi university school of engineering seminar bimbingan staf pendidikan basis hasil obe engineersboard theiek eackenyaya","netral"
"nitttr chennai akan melakukan program pengembangan profesional tentang pendidikan berbasis hasil melalui mode online selama 17032025 hingga 21032025untuk mendaftar silahkan daftar dengan mengklik di sini training","['nitttr', 'chennai', 'program', 'pengembangan', 'profesional', 'pendidikan', 'basis', 'hasil', 'mode', 'online', '17032025', '21032025untuk', 'mendaftar', 'silahkan', 'daftar', 'mengklik', 'training']","nitttr chennai program pengembangan profesional pendidikan basis hasil mode online 17032025 21032025untuk mendaftar silahkan daftar mengklik training","netral"
"neemoreparties romanzoomer forzatommyt owenjonesjourno orang kulit hitam tidak proporsional miskin sebagian besar dana sekolah as didasarkan pada daerah tangkapan air dan hasil sekolah yang berarti orang amerika miskin secara tidak proporsional lebih mungkin memiliki pendidikan yang lebih burukinggris memiliki mobilitas sosial yang lebih baik daripada as karena alasan ini","['neemoreparties', 'romanzoomer', 'forzatommyt', 'owenjonesjourno', 'orang', 'kulit', 'hitam', 'proporsional', 'miskin', 'dana', 'sekolah', 'a', 'didasarkan', 'daerah', 'tangkapan', 'air', 'hasil', 'sekolah', 'orang', 'amerika', 'miskin', 'proporsional', 'memiliki', 'pendidikan', 'burukinggris', 'memiliki', 'mobilitas', 'sosial', 'a', 'alasan']","neemoreparties romanzoomer forzatommyt owenjonesjourno orang kulit hitam proporsional miskin dana sekolah a didasarkan daerah tangkapan air hasil sekolah orang amerika miskin proporsional memiliki pendidikan burukinggris memiliki mobilitas sosial a alasan","negatif"
"sel kebijakan pendidikan nasional ku berhasil melakukan lokakarya dua hari tentang pendidikan berbasis hasil yang berfokus pada perumusan hasil program hasil program spesifik dan hasil kursusdikeluarkan melalui pusat hubungan masyarakat universitas kashmir","['sel', 'kebijakan', 'pendidikan', 'nasional', 'ku', 'berhasil', 'lokakarya', 'pendidikan', 'basis', 'hasil', 'berfokus', 'perumusan', 'hasil', 'program', 'hasil', 'program', 'spesifik', 'hasil', 'kursusdikeluarkan', 'pusat', 'hubungan', 'masyarakat', 'universitas', 'kashmir']","sel kebijakan pendidikan nasional ku berhasil lokakarya pendidikan basis hasil berfokus perumusan hasil program hasil program spesifik hasil kursusdikeluarkan pusat hubungan masyarakat universitas kashmir","positif"
