"full_text","tokens","processed_text","label"
"guruguru jadi korban dari kurikulum obe yang berbelitbelit","['guruguru', 'korban', 'kurikulum', 'obe', 'berbelitbelit']","guruguru korban kurikulum obe berbelitbelit","negatif"
"administrasi obe ini bikin guru capek mental","['administrasi', 'obe', 'bikin', 'guru', 'capek', 'mental']","administrasi obe bikin guru capek mental","negatif"
"obe malah bikin anakanak stress karena terlalu banyak project","['obe', 'bikin', 'anakanak', 'stress', 'project']","obe bikin anakanak stress project","negatif"
"kualitas obe bagus siswa jadi lebih mandiri dalam belajar","['kualitas', 'obe', 'bagus', 'siswa', 'mandiri', 'ajar']","kualitas obe bagus siswa mandiri ajar","positif"
"pemerintah asal nerapin obe tanpa liat kondisi sekolah di daerah","['perintah', 'nerapin', 'obe', 'liat', 'kondisi', 'sekolah', 'daerah']","perintah nerapin obe liat kondisi sekolah daerah","negatif"
"ya gitu obe tidak ada yang spesialspesial amat","['ya', 'gitu', 'obe', 'spesialspesial']","ya gitu obe spesialspesial","netral"
"anakanak lebih suka belajar dengan metode obe yang interaktif","['anakanak', 'suka', 'ajar', 'metode', 'obe', 'interaktif']","anakanak suka ajar metode obe interaktif","positif"
"obe mah hanya program pencitraan pemerintah saja","['obe', 'mah', 'program', 'citra', 'perintah']","obe mah program citra perintah","negatif"
"suka sekali sama konsep obe yang bikin anak lebih aktif","['suka', 'konsep', 'obe', 'bikin', 'anak', 'aktif']","suka konsep obe bikin anak aktif","positif"
"sekolah di pelosok mana bisa ngikutin standar obe yang tinggi","['sekolah', 'pelosok', 'ngikutin', 'standar', 'obe']","sekolah pelosok ngikutin standar obe","negatif"
"obe malah bikin kesenjangan pendidikan makin lebar","['obe', 'bikin', 'senjang', 'didik', 'lebar']","obe bikin senjang didik lebar","negatif"
"projectproject obe bikin anakanak lebih kreatif","['projectproject', 'obe', 'bikin', 'anakanak', 'kreatif']","projectproject obe bikin anakanak kreatif","positif"
"belum semua guru paham cara ngajar pakai obe","['guru', 'paham', 'ngajar', 'pakai', 'obe']","guru paham ngajar pakai obe","netral"
"obe membebani guru dengan administrasi yang tidak perlu","['obe', 'beban', 'guru', 'administrasi']","obe beban guru administrasi","negatif"
"pembelajaran jadi lebih bermakna dengan pendekatan obe","['ajar', 'makna', 'dekat', 'obe']","ajar makna dekat obe","positif"
"gontaganti kurikulum malah bikin siswa jadi kelinci percobaan","['gontaganti', 'kurikulum', 'bikin', 'siswa', 'kelinci', 'coba']","gontaganti kurikulum bikin siswa kelinci coba","negatif"
"menurut saya obe hanya ganti bungkus saja isinya sama","['obe', 'ganti', 'bungkus', 'isi']","obe ganti bungkus isi","negatif"
"obe bagus untuk pengembangan skill anak di era digital","['obe', 'bagus', 'kembang', 'skill', 'anak', 'era', 'digital']","obe bagus kembang skill anak era digital","positif"
"beban kerja guru bertambah dua kali lipat sejak obe","['beban', 'kerja', 'guru', 'tambah', 'kali', 'lipat', 'obe']","beban kerja guru tambah kali lipat obe","negatif"
"obe bikin anakanak lebih bisa kerja tim","['obe', 'bikin', 'anakanak', 'kerja', 'tim']","obe bikin anakanak kerja tim","positif"
"guruguru butuh pelatihan lebih banyak untuk obe","['guruguru', 'butuh', 'latih', 'obe']","guruguru butuh latih obe","positif"
"metode obe ngebosenin buat anakanak yang aktif","['metode', 'obe', 'ngebosenin', 'anakanak', 'aktif']","metode obe ngebosenin anakanak aktif","negatif"
"obe membantu anak memahami tujuan belajar dengan lebih jelas","['obe', 'bantu', 'anak', 'paham', 'tuju', 'ajar']","obe bantu anak paham tuju ajar","positif"
"sekolah kami kekurangan sarana untuk nerapin obe dengan baik","['sekolah', 'kurang', 'sarana', 'nerapin', 'obe']","sekolah kurang sarana nerapin obe","negatif"
"platform digital buat obe sering error jadi tambah ribet","['platform', 'digital', 'obe', 'error', 'ribet']","platform digital obe error ribet","negatif"
"siswa jadi lebih bersemangat ikut pelajaran sejak pakai obe","['siswa', 'semangat', 'ajar', 'pakai', 'obe']","siswa semangat ajar pakai obe","positif"
"bikin pusing saja administrasi obe yang ruwet","['bikin', 'pusing', 'administrasi', 'obe', 'ruwet']","bikin pusing administrasi obe ruwet","negatif"
"metode penilaian obe lebih adil buat siswa dengan berbagai kemampuan","['metode', 'nilai', 'obe', 'adil', 'siswa', 'mampu']","metode nilai obe adil siswa mampu","positif"
"susah nerapin obe kalau jumlah murid di kelas terlalu banyak","['susah', 'nerapin', 'obe', 'murid', 'kelas']","susah nerapin obe murid kelas","negatif"
"obe ini bagus buat persiapan anak ke dunia kerja masa depan","['obe', 'bagus', 'siap', 'anak', 'dunia', 'kerja']","obe bagus siap anak dunia kerja","positif"
"kurikulum obe ngabisin anggaran sekolah buat pelatihan guru","['kurikulum', 'obe', 'ngabisin', 'anggar', 'sekolah', 'latih', 'guru']","kurikulum obe ngabisin anggar sekolah latih guru","negatif"
"ya gitu obe kadang bagus kadang enggak","['ya', 'gitu', 'obe', 'kadang', 'bagus', 'kadang']","ya gitu obe kadang bagus kadang","netral"
"sistem obe membantu anak lebih percaya diri dalam belajar","['sistem', 'obe', 'bantu', 'anak', 'percaya', 'ajar']","sistem obe bantu anak percaya ajar","positif"
"budget sekolah habis buat beli perlengkapan obe","['budget', 'sekolah', 'habis', 'beli', 'lengkap', 'obe']","budget sekolah habis beli lengkap obe","negatif"
"penilaian di obe terlalu subjektif bikin bingung","['nilai', 'obe', 'subjektif', 'bikin', 'bingung']","nilai obe subjektif bikin bingung","negatif"
"obe membantu siswa memahami relevansi pelajaran dengan kehidupan nyata","['obe', 'bantu', 'siswa', 'paham', 'relevansi', 'ajar', 'hidup', 'nyata']","obe bantu siswa paham relevansi ajar hidup nyata","positif"
"terlalu banyak istilah asing di obe bikin guruguru pusing","['istilah', 'asing', 'obe', 'bikin', 'guruguru', 'pusing']","istilah asing obe bikin guruguru pusing","negatif"
"obe butuh internet yang bagus di desa mana ada","['obe', 'butuh', 'internet', 'bagus', 'desa']","obe butuh internet bagus desa","negatif"
"perubahan ke obe lumayan lancar di sekolah kami","['ubah', 'obe', 'lumayan', 'lancar', 'sekolah']","ubah obe lumayan lancar sekolah","positif"
"guruguru senior kesulitan adaptasi sama obe","['guruguru', 'senior', 'sulit', 'adaptasi', 'obe']","guruguru senior sulit adaptasi obe","negatif"
"kemampuan public speaking anakanak meningkat dengan obe","['mampu', 'public', 'speaking', 'anakanak', 'tingkat', 'obe']","mampu public speaking anakanak tingkat obe","positif"
"terlalu banyak penilaian di obe bikin guru kewalahan","['nilai', 'obe', 'bikin', 'guru', 'kewalahan']","nilai obe bikin guru kewalahan","negatif"
